Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","6","Andorra","6171","Annual growth, US$, 2010 prices","22008","Gross Domestic Product","2017","2017","%","1.724022","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6182","Annual growth, US$, 2015 prices","22008","Gross Domestic Product","2017","2017","%","1.723873","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6119","Value US$","22014","Gross Domestic Product per capita","2013","2013","","40621.929155","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6107","Value US$, 2010 prices","22014","Gross Domestic Product per capita","2013","2013","","39101.973755","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6185","Value US$, 2015 prices","22014","Gross Domestic Product per capita","2013","2013","","33743.0798","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6171","Annual growth, US$, 2010 prices","22014","Gross Domestic Product per capita","2013","2013","%","2.392514","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6119","Value US$","22014","Gross Domestic Product per capita","2017","2017","","39249.689016","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6107","Value US$, 2010 prices","22014","Gross Domestic Product per capita","2017","2017","","43875.979579","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6185","Value US$, 2015 prices","22014","Gross Domestic Product per capita","2017","2017","","37862.745677","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6171","Annual growth, US$, 2010 prices","22014","Gross Domestic Product per capita","2017","2017","%","2.141677","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6109","Value Local Currency","22011","Gross National Income","2013","2013","millions","2471.69","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6110","Value US$","22011","Gross National Income","2013","2013","millions","3281.763085","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6109","Value Local Currency","22011","Gross National Income","2017","2017","millions","2674.08","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6110","Value US$","22011","Gross National Income","2017","2017","millions","3020.85784","X","International reliable sources","Data from UNSD AMA"
