Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","116","Democratic People's Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","25429.825","X","International reliable sources",""
"OA","Annual population","250","Democratic Republic of the Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","71358.807","X","International reliable sources",""
"OA","Annual population","250","Democratic Republic of the Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","81398.764","X","International reliable sources",""
"OA","Annual population","54","Denmark","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","5638.145","X","International reliable sources",""
"OA","Annual population","54","Denmark","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","5732.274","X","International reliable sources",""
"OA","Annual population","72","Djibouti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","883.293","X","International reliable sources",""
"OA","Annual population","72","Djibouti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","944.099","X","International reliable sources",""
"OA","Annual population","55","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","71.016","X","International reliable sources",""
"OA","Annual population","55","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","71.458","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","10048.232","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10513.104","X","International reliable sources",""
"OA","Annual population","58","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","15707.474","X","International reliable sources",""
"OA","Annual population","58","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","16785.361","X","International reliable sources",""
