Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","144.787747","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","292.030929","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","145.50017","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","298.338581","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","146.138903","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","304.971994","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","146.971822","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","307.247177","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","148.047553","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","309.507069","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","109.035408","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","111.905284","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","109.442553","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","112.103891","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","110.227052","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","112.103891","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","112.004587","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","258","Anguilla","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","113.136649","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","101.3024","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","103.1605","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","106.0143","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","108.3515","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","109.7631","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","110.7483","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","112.0115","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","114.3467","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","116.4048","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","118.1646","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","119.5688","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","120.36","X","International reliable sources","base year is 2016M12"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","124.369836","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","133.607624","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","123.205598","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","132.149275","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","123.758359","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","131.151874","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","123.141684","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","133.633595","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","122.680173","X","International reliable sources","base year is rescaled to 2010"
