country,food_supply_kcalcapitaday,protein_supply_gcapitaday,pop_thousand,pop_growth,gdp_percapita_usd,gdp_growth,political_stability_index,euro_union,protein_animal_over_protein,dom_supply_poultry_tons,export_poultry_tons,import_poultry_tons,prod_poultry_tons,protein_poultry_gcapitaday,net_import_poultry_tons,net_import_poultry_over_domsupply,import_poultry_over_domsupply,prod_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry,import_french_chicken_tons,cluster,producer
Malaysia,2902.0,78.86999999999998,31104.646,5.550671125646511,8035.82586975,7.243923519014772,0.16,Outside EU,54.78635729681756,1621000.0,44000.0,68000.0,1724000.0,12.95,24000.0,1.4805675508945095,4.194941394201111,106.35410240592226,44.68085106382979,9.749492213947184,267.0,6,surplus production
Maldives,2253.0,81.63000000000007,496.402,19.44426397942216,7631.64759775,20.009512451840195,0.26,Outside EU,60.12495406100697,12000.0,0.0,12000.0,0.0,4.7,12000.0,100.0,100.0,0.0,20.0,20.0,806.0,2,insufficient production
Mali,2923.0,84.74000000000002,18512.43,12.538567211599586,662.4948817500001,14.025605063088564,-1.91,Outside EU,27.34245928723152,52000.0,0.0,1000.0,48000.0,0.96,1000.0,1.9230769230769231,1.9230769230769231,92.30769230769229,-66.66666666666667,10.63829787234043,29.0,8,insufficient production
Malta,3460.0,116.32,437.93300000000005,2.764747706798776,21764.29268325,28.923064343769436,1.27,EU,57.57393397524075,14000.0,0.0,9000.0,4000.0,12.68,9000.0,64.28571428571429,64.28571428571429,28.57142857142857,0.0,7.692307692307688,400.0,5,insufficient production
Mauritania,2842.0,79.82000000000005,4282.57,12.182756541333115,1110.77519,-0.5630275689035957,-0.62,Outside EU,36.870458531696315,22000.0,0.0,24000.0,5000.0,1.59,24000.0,109.09090909090908,109.09090909090908,22.72727272727273,41.1764705882353,0.0,290.0,10,insufficient production
Mauritius,3125.0,88.41000000000004,1264.499,0.7206169570800114,7662.00197875,12.640237800874974,0.99,Outside EU,43.73939599592806,49000.0,0.0,2000.0,48000.0,13.06,2000.0,4.081632653061225,4.081632653061225,97.95918367346937,0.0,0.0,157.0,5,insufficient production
Mexico,3258.0,93.30000000000004,124777.324,5.007409879968439,7109.096839999998,-1.2532279538361113,-0.65,Outside EU,46.93461950696678,4219000.0,9000.0,972000.0,3249000.0,9.26,963000.0,22.82531405546338,23.03863474757051,77.00876985067552,14.487632508833913,14.491180461329712,16.0,6,insufficient production
Mongolia,2369.0,82.35000000000002,3113.786,8.050375617107552,2964.71952025,0.5986125783973506,0.82,Outside EU,68.17243472981177,9000.0,0.0,10000.0,0.0,0.95,10000.0,111.11111111111113,111.11111111111113,0.0,25.0,0.0,0.0,10,insufficient production
Morocco,3378.0,98.03000000000002,35581.255,5.5331843443988005,2426.52235725,7.298654066121423,-0.41,Outside EU,27.99143119453229,746000.0,1000.0,3000.0,762000.0,7.29,2000.0,0.2680965147453083,0.4021447721179625,102.14477211796249,-25.0,8.746355685131201,663.0,8,surplus production
Mozambique,2301.0,51.18000000000002,28649.018,12.082049219594634,386.13206775,-6.121708077770871,-0.98,Outside EU,17.56545525595935,116000.0,0.0,24000.0,92000.0,1.2,24000.0,20.689655172413797,20.689655172413797,79.3103448275862,140.0,222.22222222222226,789.0,12,insufficient production
Republic of Moldova,2397.0,63.32,4059.684,-0.36585267085701423,1594.3554060000001,9.673543700658826,-0.24,Outside EU,48.68919772583703,66000.0,0.0,16000.0,54000.0,5.53,16000.0,24.24242424242424,24.24242424242424,81.81818181818183,-15.789473684210535,4.761904761904766,82.0,6,insufficient production
Namibia,2429.0,62.0,2402.633,7.572168982604933,3953.86041075,1.1849672276036616,0.63,Outside EU,36.709677419354854,28000.0,12000.0,29000.0,11000.0,4.25,17000.0,60.71428571428571,103.57142857142858,39.285714285714285,61.111111111111114,0.0,0.0,10,insufficient production
Nepal,2864.0,73.58,27632.681,2.659633337448497,598.30808125,20.29936692287804,-0.66,Outside EU,17.205762435444413,58000.0,0.0,0.0,58000.0,0.67,0.0,0.0,0.0,100.0,0.0,34.883720930232556,0.0,13,surplus production
